Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,5.100000,5.250000,5.070000,5.120000,5.120000,56590500
2020-12-09,5.140000,5.180000,5.020000,5.050000,5.050000,33260700
2020-12-10,5.090000,5.220000,4.960000,5.220000,5.220000,66935300
2020-12-11,5.150000,5.360000,5.110000,5.190000,5.190000,59485100
2020-12-14,5.400000,5.450000,5.010000,5.010000,5.010000,107656000
2020-12-15,5.010000,5.060000,4.820000,4.870000,4.870000,100015100
2020-12-16,4.890000,4.920000,4.720000,4.920000,4.920000,71888900
2020-12-17,4.930000,4.950000,4.780000,4.820000,4.820000,45516200
2020-12-18,4.830000,4.850000,4.760000,4.820000,4.820000,25111200
2020-12-21,4.600000,4.720000,4.520000,4.640000,4.640000,51869500
2020-12-22,4.660000,4.690000,4.490000,4.500000,4.500000,48485700
2020-12-23,4.520000,4.630000,4.520000,4.600000,4.600000,31338200
2020-12-28,4.620000,4.650000,4.550000,4.600000,4.600000,45061400
2020-12-29,4.630000,4.840000,4.620000,4.690000,4.690000,52931100
2020-12-30,4.710000,4.760000,4.630000,4.630000,4.630000,27328600
